Month,Price_rs,Change,Price_dollar_rubber,Change_dollar,Rubber_type,Year
 March, 13948.00,-40, 185.95,-0.56,ISNR50,2014
 April, 13152.00,-796, 175.35,-10.6,ISNR50,2014
 May, 13184.00,32, 175.80,0.45,ISNR50,2014
 June, 13025.00,-159, 173.65,-2.15,ISNR50,2014
 July, 12104.00,-921, 161.40,-12.25,ISNR50,2014
 August, 11157.00,-947, 148.75,-12.65,ISNR50,2014
 September, 10174.00,-983, 135.65,-13.1,ISNR50,2014
 October, 10175.00,1, 135.65,0,ISNR50,2014
 November, 9663.00,-512, 128.85,-6.8,ISNR50,2014
 December, 9085.00,-578, 121.15,-7.7,ISNR50,2014
 January, 15265.00,226, 203.55,3.05,ISNR50,2013
 February, 15064.00,-201, 200.85,-2.7,ISNR50,2013
 March, 15367.00,303, 204.90,4.05,ISNR50,2013
 April, 14950.00,-417, 199.35,-5.55,ISNR50,2013
 May, 15713.00,763, 209.51,10.16,ISNR50,2013
 June, 15733.00,20, 209.75,0.24,ISNR50,2013
 July, 16992.00,1259, 226.55,16.8,ISNR50,2013
 August, 16875.00,-117, 225.00,-1.55,ISNR50,2013
 September, 16217.00,-658, 216.20,-8.8,ISNR50,2013
 October, 15200.00,-1017, 202.65,-13.55,ISNR50,2013
 November, 14678.00,-522, 195.71,-6.94,ISNR50,2013
 December, 14367.00,-311, 191.55,-4.16,ISNR50,2013
 January, 18343.00,-177, 244.55,-2.4,ISNR50,2012
 February, 18421.00,78, 245.60,1.05,ISNR50,2012
 March, 18858.00,437, 251.45,5.85,ISNR50,2012
 April, 19267.00,409, 256.90,5.45,ISNR50,2012
 May, 19079.00,-188, 254.40,-2.5,ISNR50,2012
 June, 18248.00,-831, 243.31,-11.09,ISNR50,2012
 July, 17471.00,-777, 232.95,-10.36,ISNR50,2012
 August, 15164.00,-2307, 202.20,-30.75,ISNR50,2012
 September, 16234.00,1070, 216.45,14.25,ISNR50,2012
 October, 16491.00,257, 219.90,3.45,ISNR50,2012
 November, 15839.00,-652, 211.20,-8.7,ISNR50,2012
 December, 15039.00,-800, 200.50,-10.7,ISNR50,2012
 January, 21457.00,1357, 286.10,18.1,ISNR50,2011
 February, 22674.00,1217, 302.30,16.2,ISNR50,2011
 March, 21183.00,-1491, 282.45,-19.85,ISNR50,2011
 April, 22100.00,917, 294.65,12.2,ISNR50,2011
 June, 21430.00,530, 285.75,7.1,ISNR50,2011
 July, 20778.00,-652, 277.05,-8.7,ISNR50,2011
 August, 20053.00,-725, 267.35,-9.7,ISNR50,2011
 September, 20613.00,560, 274.85,7.5,ISNR50,2011
 October, 19965.00,-648, 266.20,-8.65,ISNR50,2011
 November, 17443.00,-2522, 232.55,-33.65,ISNR50,2011
 December, 18520.00,1077, 246.95,14.4,ISNR50,2011
